areaCode,areaName,areaType,date,hospitalCases
N92000002,Northern Ireland,nation,2022-11-16,414
N92000002,Northern Ireland,nation,2022-11-15,419
N92000002,Northern Ireland,nation,2022-11-14,434
N92000002,Northern Ireland,nation,2022-11-13,444
N92000002,Northern Ireland,nation,2022-11-12,439
N92000002,Northern Ireland,nation,2022-11-11,433
N92000002,Northern Ireland,nation,2022-11-10,443
N92000002,Northern Ireland,nation,2022-11-09,447
N92000002,Northern Ireland,nation,2022-11-08,454
N92000002,Northern Ireland,nation,2022-11-07,462
N92000002,Northern Ireland,nation,2022-11-06,454
N92000002,Northern Ireland,nation,2022-11-05,444
N92000002,Northern Ireland,nation,2022-11-04,445
N92000002,Northern Ireland,nation,2022-11-03,450
N92000002,Northern Ireland,nation,2022-11-02,453
N92000002,Northern Ireland,nation,2022-11-01,459
N92000002,Northern Ireland,nation,2022-10-31,474
N92000002,Northern Ireland,nation,2022-10-30,471
N92000002,Northern Ireland,nation,2022-10-29,467
N92000002,Northern Ireland,nation,2022-10-28,457
N92000002,Northern Ireland,nation,2022-10-27,482
N92000002,Northern Ireland,nation,2022-10-26,492
N92000002,Northern Ireland,nation,2022-10-25,499
N92000002,Northern Ireland,nation,2022-10-24,515
N92000002,Northern Ireland,nation,2022-10-23,518
N92000002,Northern Ireland,nation,2022-10-22,514
N92000002,Northern Ireland,nation,2022-10-21,505
N92000002,Northern Ireland,nation,2022-10-20,518
N92000002,Northern Ireland,nation,2022-10-19,535
N92000002,Northern Ireland,nation,2022-10-18,547
N92000002,Northern Ireland,nation,2022-10-17,558
N92000002,Northern Ireland,nation,2022-10-16,544
N92000002,Northern Ireland,nation,2022-10-15,536
N92000002,Northern Ireland,nation,2022-10-14,518
N92000002,Northern Ireland,nation,2022-10-13,534
N92000002,Northern Ireland,nation,2022-10-12,550
N92000002,Northern Ireland,nation,2022-10-11,554
N92000002,Northern Ireland,nation,2022-10-10,569
N92000002,Northern Ireland,nation,2022-10-09,578
N92000002,Northern Ireland,nation,2022-10-08,567
N92000002,Northern Ireland,nation,2022-10-07,550
N92000002,Northern Ireland,nation,2022-10-06,539
N92000002,Northern Ireland,nation,2022-10-05,524
N92000002,Northern Ireland,nation,2022-10-04,518
N92000002,Northern Ireland,nation,2022-10-03,501
N92000002,Northern Ireland,nation,2022-10-02,494
N92000002,Northern Ireland,nation,2022-10-01,482
N92000002,Northern Ireland,nation,2022-09-30,473
N92000002,Northern Ireland,nation,2022-09-29,447
N92000002,Northern Ireland,nation,2022-09-28,449
N92000002,Northern Ireland,nation,2022-09-27,442
N92000002,Northern Ireland,nation,2022-09-26,434
N92000002,Northern Ireland,nation,2022-09-25,413
N92000002,Northern Ireland,nation,2022-09-24,398
